Pair,Static Beta,Rolling Beta Avg,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Win Rate
GS-PEP,0.9306048085028666,1.2994936427866406,-0.26028176950607174,-0.1582545926963007,0.2920431801118945,-0.5418876504346599,-0.3616259775164635,0.23863636363636365
DIS-PEP,-1.0155283279448706,0.12450792494537659,-0.22091513770803495,-0.1329414248480798,0.24203638813242126,-0.5492621414237343,-0.2510173881442391,0.24772727272727274
IWM-AMZN,0.31309674227098927,0.45322506912196214,-0.18705000882295497,-0.11160132275570589,0.20100346018617762,-0.555220903422937,-0.243569384973253,0.28863636363636364
AAPL-NVDA,1.2798994731348803,2.371325450827415,-0.8963692526013164,-0.7262071676622217,1.2548354903837546,-0.578726991089591,-0.9822709791176155,0.225
BAC-XOM,-0.26562588601241166,0.05548233738081377,-0.20126366557803288,-0.12051074553153307,0.20315347976893594,-0.5932004987982504,-0.35113734772307625,0.26136363636363635
MS-WMT,0.18002849897526074,0.383543830440816,-0.23046208263575174,-0.13902887800665675,0.2301412762928968,-0.6041023159605543,-0.26258030793800935,0.21818181818181817
UNH-TGT,-0.24565936642553338,0.25045441271466073,-0.4473194474477411,-0.2874056241660151,0.4581393944683984,-0.6273322653239762,-0.5924170923945562,0.2840909090909091
CVX-NFLX,-0.028422296157891738,0.034531754468304234,-0.18007732121944198,-0.10725511439787383,0.16637958617974488,-0.6446410696201811,-0.2680650073613098,0.21363636363636362
JNJ-WMT,-0.38635952266222184,1.1601256425034707,-0.3295015916411208,-0.20420956470555351,0.31592117175125284,-0.646394046886931,-0.4768821597673487,0.22727272727272727
COP-DIS,-0.44352337978593454,-0.05995945495194327,-0.30848889970221405,-0.19005288928866293,0.29078299080776726,-0.6535901180489073,-0.3755869922134605,0.24545454545454545
BAC-PEP,-0.24036934336364016,0.05976187489852289,-0.21728119344900065,-0.13063270865808718,0.19841445848624786,-0.6583830112720407,-0.3026405345786102,0.2409090909090909
META-PFE,-7.701783666216953,-2.552778251663915,-0.917018264060631,-0.7588564093380954,1.137949215236676,-0.6668631597766557,-0.9618769542128757,0.22272727272727272
XOM-PEP,0.8661565028907735,-0.0038750531450300304,-0.2314414892505401,-0.1396552063198666,0.2008951570911545,-0.6951646238863749,-0.29700688508952167,0.2340909090909091
WMT-NFLX,0.029332063900386358,0.021789482809304463,-0.1001007759189273,-0.058489705917318835,0.08355817010333293,-0.6999878748539734,-0.1779847364030189,0.17727272727272728
HD-NFLX,0.16890255161013695,0.2461734019613597,-0.21268509120631063,-0.12771928342887096,0.1802251050428027,-0.7086653293864812,-0.3220305160427668,0.23863636363636365
GS-HD,0.7608412396865154,0.8694862470997377,-0.22518200494414986,-0.13565814854717462,0.18808763455410757,-0.7212496922978185,-0.38621087048902314,0.2340909090909091
GS-PFE,-0.40335557420757945,2.4473344985708523,-0.9188289845387109,-0.7618774309114631,1.0376628414824673,-0.7342244517718292,-0.9460534764612148,0.2681818181818182
COP-COST,0.06673148203938216,0.05618769333468216,-0.26009810947067646,-0.15813517520470644,0.2150027308099138,-0.7355031008630092,-0.2743683254117467,0.21363636363636362
VTI-WMT,2.1110850061029915,1.6526646249713657,-0.3616026775061548,-0.22620937958921428,0.30677004196584784,-0.7373907117514356,-0.3691649888327555,0.225
CVX-COST,-0.02802206293817435,0.07161686375331133,-0.22328485434346812,-0.13444943902909845,0.18215909362681088,-0.7380879886487844,-0.2613264760949282,0.22727272727272727
IWM-AAPL,0.2556751220515008,0.5431502319535743,-0.18127704112874898,-0.10800179098495233,0.14368554863641256,-0.7516538163364238,-0.22362362806973368,0.2340909090909091
VTI-PFE,-0.9429302975558392,0.5983638004141333,-0.5091491616902724,-0.3341142279265997,0.44320845725114033,-0.753853457578037,-0.6308534560023149,0.29772727272727273
GS-NFLX,0.13657804293501238,0.30615897164766137,-0.21836097557280454,-0.131318234862985,0.1690468995258863,-0.7768153999350702,-0.2779474441426375,0.2318181818181818
UNH-WMT,1.4404466578329196,4.020930061346058,-0.9510082463105063,-0.8215572741115618,1.0338498269451657,-0.7946582305276493,-0.9534537656555901,0.18636363636363637
IWM-TGT,0.1939495021874544,0.5265746615524447,-0.21178494182802066,-0.1271495417673053,0.15913796206536937,-0.7989893807680902,-0.23749879132662716,0.23863636363636365
SPY-PFE,-2.2028631041683586,1.1321955613433838,-0.8872132113527639,-0.7126353947201816,0.8787137077499984,-0.8109983814238306,-0.9244286276990464,0.2840909090909091
IWM-GS,0.2770182382391655,0.3796541989969566,-0.15082620875689567,-0.08919245808749843,0.10905778770611899,-0.8178458408476779,-0.18540196653141183,0.175
HD-TGT,0.15062654473813017,0.5324940739464262,-0.45561634731701905,-0.2935383123715972,0.3546906767760659,-0.827589591696324,-0.4961989974043442,0.22727272727272727
GS-UNH,0.11452827865794567,0.3417962571829987,-0.22809589569637923,-0.13751711491653884,0.16583287471618977,-0.8292512274896569,-0.2954114516133294,0.19090909090909092
GS-WMT,1.8777805036516892,3.8436427324123974,-0.9850292198683251,-0.9093677978093606,1.0909042531000999,-0.8335908446824235,-0.9855144340753555,0.18863636363636363
AAPL-META,0.21612595895845418,0.27812441751344785,-0.21104990291037928,-0.1266845121139033,0.1518249233558163,-0.8344118298482917,-0.28448233329416295,0.22727272727272727
VOO-PFE,-2.037097412835543,1.0373401079010445,-0.860764641363406,-0.6758738866153763,0.8067868036530192,-0.8377354259577781,-0.9058224025539139,0.2840909090909091
IWM-UNH,-0.07463742061983032,0.11168425544002153,-0.2158308296294702,-0.1297125470485545,0.15251898459491317,-0.8504682049455546,-0.2856668377185335,0.21136363636363636
DIA-PFE,-1.328932941286124,1.4544473367405133,-0.8018810765496591,-0.6034998048688132,0.7038166745967844,-0.8574673301318946,-0.8489088437329034,0.29772727272727273
QQQ-PFE,-3.7488941412756005,-0.07973426349205337,-0.9238748295237378,-0.7704521117226635,0.8734505823940759,-0.8820786513312524,-0.9474738563212354,0.27954545454545454
CVX-DIS,-0.33024968923516396,0.01358597601159719,-0.32438711584952873,-0.20074653546200294,0.22576338234927434,-0.8891899712568608,-0.3796896891312678,0.22272727272727272
MS-UNH,-0.07983496284383593,0.019184143593672633,-0.24549512582289856,-0.14868046365305232,0.16570008044871046,-0.8972866111496773,-0.2825769787817329,0.19545454545454546
